ga_session_id,session_duration_sec,product_views,add_to_cart,add_payment,total_engagement_ms,country,session_number,purchased,device_type_mobile,device_type_tablet,region_Asia,region_Europe,region_Latin America,region_Middle East,region_North America,region_Oceania,region_Other,cluster
761977361,186.36,0,0,0,0.0,Austria,1,0,False,False,False,True,False,False,False,False,False,2
762436958,78.188124,0,0,0,66113.0,India,2,0,True,False,True,False,False,False,False,False,False,2
762654856,19.504069,0,0,0,6946.0,India,1,0,False,False,True,False,False,False,False,False,False,0
762688107,51.969315,0,0,0,25430.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
763285006,69.680977,1,0,0,66113.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
763834520,0.0,0,0,0,0.0,United States,3,0,False,True,False,False,False,False,True,False,False,0
763867002,186.36,0,0,0,66113.0,Canada,1,0,False,False,False,False,False,False,True,False,False,2
764307361,3.804974,0,0,0,3747.0,Taiwan,1,0,True,False,True,False,False,False,False,False,False,0
765041857,7.724756,0,0,0,7699.0,United Kingdom,1,0,True,False,False,True,False,False,False,False,False,0
765257224,13.323972,0,0,0,13301.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
766075555,5.04089,0,0,0,24.0,Switzerland,1,0,False,False,False,True,False,False,False,False,False,0
766116357,12.228997,0,0,0,12228.0,India,1,0,True,False,True,False,False,False,False,False,False,0
766642870,30.817711,0,0,0,29906.0,Austria,1,0,False,False,False,True,False,False,False,False,False,0
767045591,0.0,0,0,0,0.0,Canada,2,0,True,False,False,False,False,False,True,False,False,0
768328422,186.36,0,0,0,66113.0,France,1,0,False,False,False,True,False,False,False,False,False,2
768335860,9.458509,0,0,0,9446.0,China,2,0,False,False,True,False,False,False,False,False,False,0
768452102,5.943056,0,0,0,0.0,Canada,1,0,False,False,False,False,False,False,True,False,False,0
769165170,186.36,0,0,0,8478.0,Jamaica,1,0,True,False,False,False,False,False,False,False,True,2
769200515,73.067828,3,0,0,66113.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
769390230,9.114019,0,0,0,9237.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
769402155,15.642865,0,0,0,14496.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
769747463,186.36,2,0,0,66113.0,United States,7,0,False,False,False,False,False,False,True,False,False,2
770177450,1.722838,0,0,0,1845.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
770213175,11.734711,0,0,0,6444.0,India,1,0,True,False,True,False,False,False,False,False,False,0
770245703,2.572868,0,0,0,2538.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
770822302,0.188518,0,0,0,11865.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
771132108,0.0,0,0,0,0.0,United States,6,0,True,False,False,False,False,False,True,False,False,0
771677128,74.63141,0,0,0,2053.0,India,2,0,False,False,True,False,False,False,False,False,False,0
772609829,5.040624,0,0,0,26.0,India,1,0,False,False,True,False,False,False,False,False,False,0
772814989,37.385829,0,0,0,36527.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
773164734,186.36,2,0,0,36349.0,Canada,4,0,True,False,False,False,False,False,True,False,False,2
773260121,55.419187,0,0,0,17747.0,India,1,0,False,False,True,False,False,False,False,False,False,0
773364558,153.592395,0,0,0,66113.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
773679886,6.636535,0,0,0,6633.0,(not set),1,0,True,False,False,False,False,False,False,False,True,0
774151586,11.805122,0,0,0,11735.0,India,1,0,True,False,True,False,False,False,False,False,False,0
774651193,21.947247,0,0,0,15505.0,Greece,1,0,True,False,False,False,False,False,False,False,True,0
774779275,186.36,0,0,0,3895.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
774828208,5.502229,1,0,0,5494.0,Turkey,1,0,False,False,False,False,False,True,False,False,False,0
775275551,0.0,0,0,0,0.0,Singapore,1,0,False,True,True,False,False,False,False,False,False,0
